rank,package,version,file_path,class_name,line_start,line_end,read_or_observer_method,mutated_state,later_read_or_branch,composition_or_threshold_site,candidate_strength,expected_behavior_difference,harness_feasibility,notes
1,httpcore,1.0.9,httpcore-1.0.9\httpcore\_models.py,Response,,,read,_content,response.read() changes later response.content from exception to bytes,,high,response.read() changes later response.content from exception to bytes,easy,source=expanded_queue_available_source; state_mutating_reader
196,werkzeug,3.1.8,werkzeug-3.1.8\src\werkzeug\serving.py,WSGIRequestHandler,159,,make_environ,client_address,structural state mutation may or may not affect later behavior,,medium,structural state mutation may or may not affect later behavior,unknown,source=reviewed_73_package_findings; source review found state mutation on a method/property/call path that returns a value or access handle
197,werkzeug,3.1.8,werkzeug-3.1.8\src\werkzeug\wsgi.py,_RangeWrapper,352,,_next_chunk,"end_reached,read_length",structural state mutation may or may not affect later behavior,,medium,structural state mutation may or may not affect later behavior,unknown,source=reviewed_73_package_findings; source review found state mutation on a method/property/call path that returns a value or access handle
198,wrapt,2.2.0,wrapt-2.2.0\src\wrapt\synchronization.py,_SynchronizedFunctionWrapper,449,,__enter__,_self_lock,structural state mutation may or may not affect later behavior,,medium,structural state mutation may or may not affect later behavior,unknown,source=reviewed_73_package_findings; source review found state mutation on a method/property/call path that returns a value or access handle
199,wsproto,1.3.2,wsproto-1.3.2\src\wsproto\frame_protocol.py,Buffer,257,,consume_at_most,bytes_used,structural state mutation may or may not affect later behavior,,medium,structural state mutation may or may not affect later behavior,unknown,source=reviewed_73_package_findings; source review found state mutation on a method/property/call path that returns a value or access handle
200,wsproto,1.3.2,wsproto-1.3.2\src\wsproto\connection.py,Connection,64,,send,_state,structural state mutation may or may not affect later behavior,,medium,structural state mutation may or may not affect later behavior,unknown,source=reviewed_73_package_findings; source review found state mutation on a method/property/call path that returns a value or access handle
201,wsproto,1.3.2,wsproto-1.3.2\src\wsproto\frame_protocol.py,FrameDecoder,333,,process_buffer,"effective_opcode,header,masker,payload_consumed",structural state mutation may or may not affect later behavior,,medium,structural state mutation may or may not affect later behavior,unknown,source=reviewed_73_package_findings; source review found state mutation on a method/property/call path that returns a value or access handle
202,wsproto,1.3.2,wsproto-1.3.2\src\wsproto\frame_protocol.py,FrameProtocol,511,,send_data,_outbound_opcode,structural state mutation may or may not affect later behavior,,medium,structural state mutation may or may not affect later behavior,unknown,source=reviewed_73_package_findings; source review found state mutation on a method/property/call path that returns a value or access handle
203,wsproto,1.3.2,wsproto-1.3.2\src\wsproto\handshake.py,H11Handshake,41,,_process_connection_request,_initiating_request,structural state mutation may or may not affect later behavior,,medium,structural state mutation may or may not affect later behavior,unknown,source=reviewed_73_package_findings; source review found state mutation on a method/property/call path that returns a value or access handle
204,wsproto,1.3.2,wsproto-1.3.2\src\wsproto\frame_protocol.py,MessageDecoder,293,,process_frame,"decoder,opcode",structural state mutation may or may not affect later behavior,,medium,structural state mutation may or may not affect later behavior,unknown,source=reviewed_73_package_findings; source review found state mutation on a method/property/call path that returns a value or access handle
205,wsproto,1.3.2,wsproto-1.3.2\src\wsproto\extensions.py,PerMessageDeflate,62,,_parse_params,"client_no_context_takeover,server_no_context_takeover",structural state mutation may or may not affect later behavior,,medium,structural state mutation may or may not affect later behavior,unknown,source=reviewed_73_package_findings; source review found state mutation on a method/property/call path that returns a value or access handle
206,wsproto,1.3.2,wsproto-1.3.2\src\wsproto\__init__.py,WSConnection,23,,send,connection,structural state mutation may or may not affect later behavior,,medium,structural state mutation may or may not affect later behavior,unknown,source=reviewed_73_package_findings; source review found state mutation on a method/property/call path that returns a value or access handle
207,wsproto,1.3.2,wsproto-1.3.2\src\wsproto\frame_protocol.py,XorMaskerSimple,25,,process,_masking_key,structural state mutation may or may not affect later behavior,,medium,structural state mutation may or may not affect later behavior,unknown,source=reviewed_73_package_findings; source review found state mutation on a method/property/call path that returns a value or access handle
